id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Tssk6	5	0.90102	0.90142	1	15727	0	0.32829	0.16815	0.32738	1	4974	3	0.32829	5	0.84532	0.84571	1	14411	0	-0.024163	0.55469	0.68649	1	11531	1	-0.024163	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Rhof	5	0.90103	0.90144	1	15728	0	0.19094	0.50972	0.65406	1	10424	2	0.19094	5	0.97211	0.97219	1	17442	0	0.43469	0.0029257	0.012592	0.51633	441	4	0.43469	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pla2g5	5	0.90112	0.90152	1	15729	0	0.39328	0.17923	0.34368	1	5233	3	0.39328	5	0.87518	0.87567	1	15012	0	0.10947	0.065409	0.16331	0.933151	3190	2	0.10947	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Serpinb6a	5	0.90113	0.90153	1	15730	0	0.84067	0.037566	0.10966	0.854545	2314	3	0.84067	5	0.74542	0.74703	1	12416	1	-0.10884	0.91648	0.91677	1	15734	0	-0.10884	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ang	5	0.90118	0.90158	1	15731	0	0.18577	0.097495	0.21773	1	3536	2	0.18577	5	0.40082	0.52923	1	8250	1	0.087377	0.83263	0.83635	1	14216	1	0.087377	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scg5	5	0.9012	0.9016	1	15732	0	0.52072	0.034988	0.10304	0.83066	2237	4	0.52072	5	0.79749	0.79794	1	13435	0	0.0097073	0.39345	0.54822	1	9404	1	0.0097073	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Adam17	5	0.90128	0.90168	1	15733	0	0.29126	0.83731	0.84131	1	14530	1	0.29126	5	0.38889	0.52371	1	8144	1	0.14601	0.28236	0.45058	1	7897	2	0.14601	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pla2g15	5	0.9013	0.9017	1	15734	0	0.36587	0.13544	0.27741	1	4330	3	0.36587	5	0.96374	0.96393	1	17199	0	0.2484	0.067118	0.16615	0.935086	3240	3	0.2484	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Stat5b	5	0.90135	0.90174	1	15735	0	0.44073	0.19054	0.36036	1	5442	3	0.44073	5	0.33665	0.47266	1	7297	2	0.049353	0.34139	0.50207	1	8674	2	0.049353	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Terf2	5	0.90137	0.90176	1	15736	0	0.56506	0.066788	0.16739	1	2936	3	0.56506	5	0.00098905	0.004437	0.133777	594	4	-0.61443	0.76252	0.78609	1	13328	1	-0.61443	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Psmb2	4	0.90151	0.90162	1	15737	0	1.5121	0.0062002	0.02128	0.337362	1185	3	1.5121	4	3.6012e-05	0.00013571	0.020661	137	4	-0.89478	0.99996	0.99996	1	18328	0	-0.89478	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Ndufc1	5	0.90156	0.90194	1	15738	0	0.28077	0.38309	0.54133	1	8406	2	0.28077	5	0.032646	0.085568	0.779612	1968	3	-0.42181	0.9953	0.9953	1	17759	0	-0.42181	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sohlh2	5	0.9017	0.90209	1	15739	0	0.15016	0.66041	0.73569	1	12125	1	0.15016	5	0.36054	0.49865	1	7702	2	0.054782	0.17634	0.33908	1	6088	2	0.054782	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Glra3	5	0.90176	0.90215	1	15740	0	0.05865	0.36239	0.52325	1	8119	2	0.05865	5	0.17413	0.29787	1	4723	1	0.50974	0.016994	0.054942	0.793274	1263	3	0.50974	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Nlgn3	5	0.90178	0.90216	1	15741	0	0.25756	0.481	0.62807	1	9953	2	0.25756	5	0.10547	0.22135	1	3735	3	-0.26966	0.82775	0.83234	1	14141	1	-0.26966	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ric8	5	0.90189	0.90228	1	15742	0	0.29227	0.56359	0.69609	1	11249	1	0.29227	5	0.063258	0.14469	0.959863	2727	3	-0.24907	0.99027	0.99031	1	17534	0	-0.24907	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ube2v2	2	0.90189	0.90174	1	15743	0	0.36866	0.098107	0.16692	1	3549	2	0.36866	2	0.99368	0.99368	1	18096	0	0.66454	0.0063215	0.01216	0.516115	685	2	0.66454	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Zscan4d	2	0.90204	0.90188	1	15744	0	0.43066	0.097959	0.16668	1	3543	2	0.43066	2	0.21759	0.23728	1	5403	1	-0.18182	0.48173	0.48472	1	10570	1	-0.18182	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Spock1	5	0.9023	0.90268	1	15745	0	0.25477	0.32765	0.49324	1	7556	2	0.25477	5	0.90825	0.90863	1	15788	0	0.4519	0.0090153	0.031984	0.711598	826	4	0.4519	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tk2	5	0.90234	0.90272	1	15746	0	0.10332	0.79968	0.813	1	13905	1	0.10332	5	0.99069	0.99075	1	18004	0	0.37088	0.0039129	0.016532	0.565027	533	4	0.37088	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ppp1r14c	5	0.9024	0.90279	1	15747	0	0.29707	0.17701	0.34043	1	5171	3	0.29707	5	0.53785	0.59912	1	9484	1	0.020471	0.78167	0.79852	1	13534	1	0.020471	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Eef1a2	5	0.90241	0.9028	1	15748	0	0.6461	0.028162	0.08535	0.762893	2013	4	0.6461	5	0.1533	0.27569	1	4443	2	0.25276	0.12243	0.2561	0.988991	4719	3	0.25276	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
2410015M20Rik	5	0.90245	0.90284	1	15749	0	0.32863	0.14072	0.28568	1	4440	3	0.32863	5	0.85042	0.85078	1	14520	0	0.036901	0.90121	0.90161	1	15442	0	0.036901	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Alpk1	5	0.90249	0.90288	1	15750	0	0.21311	0.45834	0.60784	1	9586	2	0.21311	5	0.93782	0.93806	1	16539	0	0.0062729	0.6094	0.70829	1	11925	1	0.0062729	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ntsr2	5	0.90253	0.90291	1	15751	0	0.18337	0.26686	0.4413	1	6699	2	0.18337	5	0.54491	0.60314	1	9577	1	0.015117	0.44344	0.59307	1	10063	2	0.015117	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mfsd7b	5	0.90254	0.90293	1	15752	0	0.11341	0.85621	0.85738	1	14866	1	0.11341	5	0.10354	0.21794	1	3684	3	-0.26713	0.73932	0.772	1	13093	1	-0.26713	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
March2	5	0.90266	0.90305	1	15753	0	0.0069985	0.70287	0.75606	1	12585	1	0.0069985	5	0.26592	0.3962	1	6148	2	-0.16743	0.52164	0.66465	1	11161	2	-0.16743	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ddx11	5	0.90267	0.90306	1	15754	0	0.51714	0.196	0.36827	1	5551	2	0.51714	5	0.00071348	0.0032223	0.110749	512	5	-0.74284	0.99929	0.99927	1	18114	0	-0.74284	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pcdhgb6	5	0.90268	0.90308	1	15755	0	0.25685	0.87809	0.87856	1	15317	0	0.25685	5	0.51206	0.58482	1	9219	1	0.059849	0.84584	0.84754	1	14446	1	0.059849	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tppp	5	0.9027	0.90309	1	15756	0	0.062696	0.74747	0.78009	1	13132	1	0.062696	5	0.50606	0.58167	1	9160	1	0.051467	0.78781	0.80267	1	13609	1	0.051467	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Trappc3l	5	0.90276	0.90316	1	15757	0	0.070388	0.66654	0.73845	1	12189	1	0.070388	5	0.2522	0.38147	1	5928	1	-0.029679	0.20546	0.38192	1	6802	1	-0.029679	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
