id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Atp7a	5	0.61815	0.73829	1	13090	1	0.9885	0.005517	0.021544	0.744627	524	4	0.9885	5	0.64196	0.77262	1	12877	2	0.24258	0.10992	0.23814	0.957818	4528	2	0.24258	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Stim1	5	0.61823	0.73833	1	13091	1	0.099831	0.74378	0.77304	0.999998	13901	1	0.099831	5	0.90254	0.9039	1	15956	1	0.13793	0.41281	0.56848	1	10050	2	0.13793	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Siglecg	5	0.61831	0.73835	1	13092	1	0.98352	0.018437	0.058868	0.897162	1178	3	0.98352	5	0.70625	0.79899	1	13427	1	0.55614	0.071952	0.17672	0.926973	3477	3	0.55614	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ppard	5	0.61872	0.73851	1	13093	1	0.20668	0.26646	0.43474	0.999998	7726	2	0.20668	5	0.93477	0.93506	1	16697	0	0.3554	0.15088	0.30164	0.976245	5633	3	0.3554	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tsen54	5	0.61878	0.73853	1	13094	1	-0.12339	0.047371	0.1314	0.96404	2459	2	-0.12339	5	0.0031746	0.013596	0.246769	990	4	-1.0656	0.92686	0.92717	1	16190	0	-1.0656	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
B3galnt1	5	0.61883	0.73855	1	13095	1	0.99025	0.013498	0.044922	0.857873	943	3	0.99025	5	0.17604	0.34809	1	5262	2	0.27111	0.19836	0.37184	0.991758	6786	3	0.27111	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ftl1	2	0.61896	0.61876	1	13096	0	0.019336	0.61742	0.61719	0.999998	12640	0	0.019336	2	0.56878	0.57138	1	11716	1	-0.23085	0.76445	0.76389	1	13763	0	-0.23085	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pdha1	5	0.61927	0.7387	1	13097	1	-0.0072879	0.80247	0.81204	0.999998	14657	1	-0.0072879	5	0.025429	0.080608	0.757494	1919	4	-0.84759	0.9644	0.96458	1	16991	0	-0.84759	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mrpl42	5	0.61968	0.73884	1	13098	1	0.3352	0.0061843	0.023591	0.755824	562	2	0.3352	5	0.17777	0.35043	1	5299	3	-0.51619	0.12598	0.26326	0.965742	4975	1	-0.51619	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Plscr2	5	0.62007	0.73897	1	13099	1	-0.073394	0.58849	0.69678	0.999998	12406	1	-0.073394	5	0.94027	0.94051	1	16834	0	0.49949	0.10672	0.23306	0.957818	4438	3	0.49949	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pspc1	5	0.62035	0.73907	1	13100	1	-0.18317	0.88056	0.88103	0.999998	15923	0	-0.18317	5	0.85404	0.86803	1	15073	1	0.23121	0.39821	0.55575	1	9858	1	0.23121	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mrps14	5	0.62038	0.73908	1	13101	1	1.537	0.0017411	0.0076391	0.567991	234	3	1.537	5	0.12482	0.27626	1	4233	2	-0.47621	0.06767	0.16967	0.920942	3356	2	-0.47621	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tert	5	0.62056	0.73915	1	13102	1	0.3535	0.15999	0.31436	0.999998	5577	3	0.3535	5	0.09578	0.2341	1	3657	2	0.52153	0.078857	0.18809	0.932077	3683	3	0.52153	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pop4	5	0.62059	0.73915	1	13103	1	0.31402	0.21568	0.39048	0.999998	6953	2	0.31402	5	0.0069975	0.028536	0.408143	1254	4	-1.7335	0.23958	0.42036	0.998859	7602	1	-1.7335	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Irx1	5	0.62095	0.73928	1	13104	1	0.19687	0.033538	0.099249	0.939756	1901	2	0.19687	5	0.5854	0.72654	1	11965	2	0.67309	0.021984	0.068931	0.87427	1435	3	0.67309	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pnma2	5	0.62108	0.73932	1	13105	1	0.40443	0.16475	0.32152	0.999998	5697	3	0.40443	5	0.96005	0.96023	1	17316	0	0.10292	0.50379	0.64906	1	11319	2	0.10292	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Csnk1g3	5	0.62131	0.7394	1	13106	1	0.61566	0.16756	0.32577	0.999998	5781	3	0.61566	5	0.71033	0.80048	1	13470	1	-0.037436	0.44592	0.59751	1	10521	2	-0.037436	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
